commodity,regime,region_id,date,residual
Beans (kidney red),North,Al Bayda City_Al Bayda,2015-11-01,-1.7572802122276538
Beans (kidney red),North,Al Bayda City_Al Bayda,2015-12-01,-1.8035939226945277
Beans (kidney red),North,Al Bayda City_Al Bayda,2016-01-01,-1.8611643464062253
Beans (kidney red),North,Al Bayda City_Al Bayda,2016-02-01,-1.8696535744897893
Beans (kidney red),North,Al Bayda City_Al Bayda,2016-03-01,-1.574309788515956
Beans (kidney red),North,Al Bayda City_Al Bayda,2016-04-01,-1.5448705053573804
Beans (kidney red),North,Al Bayda City_Al Bayda,2016-05-01,-1.3153851245454904
Beans (kidney red),North,Al Bayda City_Al Bayda,2018-04-01,-1.6836803484916916
Beans (kidney red),North,Al Bayda City_Al Bayda,2018-09-01,-2.28096219105167
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-01-01,-0.6681022370002374
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-02-01,-2.5137181028216657
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-03-01,-2.472418102821666
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-04-01,-0.2219181028216659
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-05-01,-0.11250223700023732
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-06-01,-0.20711810282166576
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-07-01,-0.2067181028216658
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-08-01,-2.2066934388511994
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-09-01,0.18572949464261956
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-10-01,-0.1402181028216658
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-11-01,-2.621609788515956
Beans (kidney red),North,Al Bayda City_Al Bayda,2020-12-01,-0.08570223700023716
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-01-01,0.3861902114840441
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-02-01,0.4192136288211912
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-03-01,0.37629021148404407
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-04-01,0.21478189717833418
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-05-01,-2.462193922694528
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-06-01,0.2340818971783345
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-07-01,0.6829065611488003
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-08-01,-2.843218102821666
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-09-01,0.27889776299976266
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-10-01,0.1734818971783345
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-11-01,2.214143143186204
Beans (kidney red),North,Al Bayda City_Al Bayda,2021-12-01,1.7377818971783339
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-01-01,-1.6494488944877603
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-02-01,1.1379977629997624
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-03-01,0.6000281020780558
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-04-01,0.5541977629997623
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-05-01,-2.8748181028216657
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-06-01,0.5691818971783342
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-07-01,2.4480902114840437
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-08-01,2.275881897178334
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-09-01,2.3693818971783345
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-10-01,-2.486918102821666
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-11-01,2.399890211484044
Beans (kidney red),North,Al Bayda City_Al Bayda,2022-12-01,2.059997762999763
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-01-01,-2.5067097885159564
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-02-01,1.8731197877723464
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-03-01,1.8390977629997627
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-04-01,-2.574102237000237
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-05-01,1.8986977629997623
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-06-01,1.8386977629997627
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-07-01,-2.7110022370002373
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-08-01,1.9064977629997628
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-09-01,1.945297762999763
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-10-01,-2.658086371178809
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-11-01,2.1424294946426192
Beans (kidney red),North,Al Bayda City_Al Bayda,2023-12-01,2.088338111204501
Beans (kidney red),North,Al Bayda City_Al Bayda,2024-01-01,1.914484239821765
Beans (kidney red),North,Al Bayda City_Al Bayda,2024-02-01,1.2831141088231068
Beans (kidney red),North,Al Bayda City_Al Bayda,2024-03-01,1.2414656927381156
Beans (kidney red),North,Al Bayda City_Al Bayda,2024-04-01,1.2844218367134075
Beans (kidney red),North,Al Bayda City_Al Bayda,2024-05-01,0.8149475240955617
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-01-01,-1.7484525184063777
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-02-01,-1.7594084688612108
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-03-01,-1.9000600699220966
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-04-01,-1.8881525184063777
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-05-01,-1.1885771370537255
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-06-01,-1.8417683842278063
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-07-01,-1.3640961338082827
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-08-01,-1.9633525184063778
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-09-01,-0.859875935743525
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-10-01,-0.46059630438021015
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-11-01,-1.5909842500492353
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-12-01,-1.9497683842278062
Beans (kidney red),North,Alduhamih_Al Hudaydah,2016-01-01,-2.157975935743525
Beans (kidney red),North,Alduhamih_Al Hudaydah,2016-02-01,-1.8605842500492351
Beans (kidney red),North,Alduhamih_Al Hudaydah,2016-03-01,-1.8927842500492351
Beans (kidney red),North,Alduhamih_Al Hudaydah,2016-04-01,-2.231684250049235
Beans (kidney red),North,Alduhamih_Al Hudaydah,2016-05-01,-1.8867683842278062
Beans (kidney red),North,Alduhamih_Al Hudaydah,2018-04-01,-2.648184250049235
Beans (kidney red),North,Alduhamih_Al Hudaydah,2018-09-01,-1.3440590484394048
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-01-01,0.17575939966055998
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-02-01,-1.9719283382792396
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-03-01,-1.8714786613159304
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-04-01,0.8602399300779036
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-05-01,0.9443695063662059
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-06-01,1.2743721455640884
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-07-01,1.31687602827198
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-08-01,-1.7134216954847568
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-09-01,1.3387359318935044
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-10-01,1.5222909609209392
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-11-01,-2.1953304936337945
Beans (kidney red),North,Alduhamih_Al Hudaydah,2020-12-01,0.9442633474150508
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-01-01,1.3090861349776253
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-02-01,1.5785474429087851
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-03-01,1.5927712672975898
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-04-01,1.2897278757469275
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-05-01,-1.7550875062311728
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-06-01,0.9206399300779031
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-07-01,1.3351181688766536
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-08-01,-2.0754063135066563
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-09-01,1.46277166172076
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-10-01,2.1066043500350453
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-11-01,1.8262853721876344
Beans (kidney red),North,Alduhamih_Al Hudaydah,2021-12-01,1.885615749950765
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-01-01,-1.828038045149513
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-02-01,2.1850157499507645
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-03-01,2.7754624386938147
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-04-01,2.3838619548504867
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-05-01,-1.8506084688612108
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-06-01,2.4225536405447774
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-07-01,2.946570269156197
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-08-01,3.309032378562185
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-09-01,3.3846619548504866
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-10-01,-2.379775935743525
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-11-01,2.260291531138789
Beans (kidney red),North,Alduhamih_Al Hudaydah,2022-12-01,1.7901157499507647
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-01-01,-1.9686239717280203
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-02-01,1.7849157499507644
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-03-01,1.836115749950765
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-04-01,-2.761784250049235
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-05-01,1.4070325743594938
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-06-01,1.8559971026913709
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-07-01,-2.416994408776115
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-08-01,1.6707418807493357
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-09-01,1.272991413191812
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-10-01,-2.7961525184063776
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-11-01,1.222253640544777
Beans (kidney red),North,Alduhamih_Al Hudaydah,2023-12-01,0.985115749950765
Beans (kidney red),North,Alduhamih_Al Hudaydah,2024-01-01,1.324669506366206
Beans (kidney red),North,Alduhamih_Al Hudaydah,2024-02-01,0.9849157499507646
Beans (kidney red),North,Alduhamih_Al Hudaydah,2024-03-01,0.9849157499507646
Beans (kidney red),North,Alduhamih_Al Hudaydah,2024-04-01,1.0871316157721935
Beans (kidney red),North,Alduhamih_Al Hudaydah,2024-05-01,1.7060775527102368
Beans (kidney red),North,Al Hazum_Al Jawf,2018-04-01,-2.0626606084563806
Beans (kidney red),North,Al Hazum_Al Jawf,2018-09-01,-2.2509764742778096
Beans (kidney red),North,Al Hazum_Al Jawf,2020-01-01,-0.8074366099163988
Beans (kidney red),North,Al Hazum_Al Jawf,2020-02-01,-1.9149753019852394
Beans (kidney red),North,Al Hazum_Al Jawf,2020-03-01,-1.6016887174489485
Beans (kidney red),North,Al Hazum_Al Jawf,2020-04-01,0.6033143870461077
Beans (kidney red),North,Al Hazum_Al Jawf,2020-05-01,0.48136163826468037
Beans (kidney red),North,Al Hazum_Al Jawf,2020-06-01,0.317487903141342
Beans (kidney red),North,Al Hazum_Al Jawf,2020-07-01,0.4294515063245541
Beans (kidney red),North,Al Hazum_Al Jawf,2020-08-01,-1.8773731399190325
Beans (kidney red),North,Al Hazum_Al Jawf,2020-09-01,0.06099626787696
Beans (kidney red),North,Al Hazum_Al Jawf,2020-10-01,0.1945034360321678
Beans (kidney red),North,Al Hazum_Al Jawf,2020-11-01,-1.7664484618726883
Beans (kidney red),North,Al Hazum_Al Jawf,2020-12-01,0.3868163181220585
Beans (kidney red),North,Al Hazum_Al Jawf,2021-01-01,0.2938597903529607
Beans (kidney red),North,Al Hazum_Al Jawf,2021-02-01,0.2966923961540533
Beans (kidney red),North,Al Hazum_Al Jawf,2021-03-01,-0.4248694066054184
Beans (kidney red),North,Al Hazum_Al Jawf,2021-04-01,0.09982469801476057
Beans (kidney red),North,Al Hazum_Al Jawf,2021-05-01,-1.9539532069455463
Beans (kidney red),North,Al Hazum_Al Jawf,2021-06-01,0.2999650462194996
Beans (kidney red),North,Al Hazum_Al Jawf,2021-07-01,-0.001168159972099847
Beans (kidney red),North,Al Hazum_Al Jawf,2021-08-01,-2.3128288768135237
Beans (kidney red),North,Al Hazum_Al Jawf,2021-09-01,-0.01693330841134255
Beans (kidney red),North,Al Hazum_Al Jawf,2021-10-01,0.3323466736568874
Beans (kidney red),North,Al Hazum_Al Jawf,2021-11-01,0.4383048340089335
Beans (kidney red),North,Al Hazum_Al Jawf,2021-12-01,0.5994449303874085
Beans (kidney red),North,Al Hazum_Al Jawf,2022-01-01,-2.242936126073071
Beans (kidney red),North,Al Hazum_Al Jawf,2022-02-01,0.9649129556786651
Beans (kidney red),North,Al Hazum_Al Jawf,2022-03-01,1.287153864800484
