source,source_lat,source_lng,target,target_lat,target_lng,weight
Aden City_Aden,1413414.8996473695,502024.6752111473,Zungubar City_Abyan,1451453.433761742,540930.338796394,39.30322845451302
Aden City_Aden,1413414.8996473695,502024.6752111473,Taiz City_Taizz,1501490.1068909634,393975.03232055355,39.30322845451302
Aden City_Aden,1413414.8996473695,502024.6752111473,Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,39.30322845451302
Aden City_Aden,1413414.8996473695,502024.6752111473,Ibb City_Ibb,1545240.393413971,411980.9012852698,39.30322845451302
Aden City_Aden,1413414.8996473695,502024.6752111473,Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,39.30322845451302
Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,Zungubar City_Abyan,1451453.433761742,540930.338796394,39.9970117908991
Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,39.9970117908991
Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,Aden City_Aden,1413414.8996473695,502024.6752111473,39.9970117908991
Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,Central Ataq_Shabwah,1607083.403143805,699110.4581984302,39.9970117908991
Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,Ibb City_Ibb,1545240.393413971,411980.9012852698,39.9970117908991
Al Ghaidha_Al Maharah,1805664.967681152,1269216.867839362,Sayoun City_Hadramaut,1766599.534024794,905396.9421393689,47.088380853388564
Al Ghaidha_Al Maharah,1805664.967681152,1269216.867839362,Mukalla City_Hadramaut,1610511.5976703227,945726.4126028048,47.088380853388564
Al Ghaidha_Al Maharah,1805664.967681152,1269216.867839362,Soqatra (Hudaibo)_Socotra,1415534.3742756257,1484659.5682649969,47.088380853388564
Al Ghaidha_Al Maharah,1805664.967681152,1269216.867839362,Central Ataq_Shabwah,1607083.403143805,699110.4581984302,47.088380853388564
Al Ghaidha_Al Maharah,1805664.967681152,1269216.867839362,Marib City_Marib,1709755.4170365373,535024.7951991099,47.088380853388564
Al Hazum_Al Jawf,1787696.8583625571,476286.69293194887,Marib City_Marib,1709755.4170365373,535024.7951991099,38.10328124712685
Al Hazum_Al Jawf,1787696.8583625571,476286.69293194887,Amran City_Amran,1731425.0945279438,386679.5361423165,38.10328124712685
Al Hazum_Al Jawf,1787696.8583625571,476286.69293194887,Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,38.10328124712685
Al Hazum_Al Jawf,1787696.8583625571,476286.69293194887,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,38.10328124712685
Al Hazum_Al Jawf,1787696.8583625571,476286.69293194887,Alsuail_Hajjah,1735805.5042575903,351073.2264011586,38.10328124712685
Al Jabeen_Raymah,1626148.635239956,349117.30304702686,Alduhamih_Al Hudaydah,1636434.4562545866,279153.2519347584,32.25846464790179
Al Jabeen_Raymah,1626148.635239956,349117.30304702686,Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,32.25846464790179
Al Jabeen_Raymah,1626148.635239956,349117.30304702686,Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,32.25846464790179
Al Jabeen_Raymah,1626148.635239956,349117.30304702686,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,32.25846464790179
Al Jabeen_Raymah,1626148.635239956,349117.30304702686,Ibb City_Ibb,1545240.393413971,411980.9012852698,32.25846464790179
Alduhamih_Al Hudaydah,1636434.4562545866,279153.2519347584,Al Jabeen_Raymah,1626148.635239956,349117.30304702686,33.83453068186089
Alduhamih_Al Hudaydah,1636434.4562545866,279153.2519347584,Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,33.83453068186089
Alduhamih_Al Hudaydah,1636434.4562545866,279153.2519347584,Alsuail_Hajjah,1735805.5042575903,351073.2264011586,33.83453068186089
Alduhamih_Al Hudaydah,1636434.4562545866,279153.2519347584,Amran City_Amran,1731425.0945279438,386679.5361423165,33.83453068186089
Alduhamih_Al Hudaydah,1636434.4562545866,279153.2519347584,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,33.83453068186089
Alsuail_Hajjah,1735805.5042575903,351073.2264011586,Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,37.74276926113113
Alsuail_Hajjah,1735805.5042575903,351073.2264011586,Amran City_Amran,1731425.0945279438,386679.5361423165,37.74276926113113
Alsuail_Hajjah,1735805.5042575903,351073.2264011586,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,37.74276926113113
