source,source_lat,source_lng,target,target_lat,target_lng,weight
Aden City_Aden,12.7854969,45.0186548,Zungubar City_Abyan,13.129193305969238,45.37763595581055,39.30322845451302
Aden City_Aden,12.7854969,45.0186548,Taiz City_Taizz,13.58,44.02,39.30322845451302
Aden City_Aden,12.7854969,45.0186548,Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,39.30322845451302
Aden City_Aden,12.7854969,45.0186548,Ibb City_Ibb,13.976155281066896,44.1850471496582,39.30322845451302
Aden City_Aden,12.7854969,45.0186548,Dhamar City_Dhamar,14.543986320495604,44.39492416381836,39.30322845451302
Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,Zungubar City_Abyan,13.129193305969238,45.37763595581055,39.9970117908991
Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,Dhamar City_Dhamar,14.543986320495604,44.39492416381836,39.9970117908991
Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,Aden City_Aden,12.7854969,45.0186548,39.9970117908991
Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,Central Ataq_Shabwah,14.52941,46.8478,39.9970117908991
Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,Ibb City_Ibb,13.976155281066896,44.1850471496582,39.9970117908991
Al Ghaidha_Al Maharah,16.20993423461914,52.18104934692383,Sayoun City_Hadramaut,15.945585250854492,48.785675048828125,47.088380853388564
Al Ghaidha_Al Maharah,16.20993423461914,52.18104934692383,Mukalla City_Hadramaut,14.531166076660156,49.13396835327149,47.088380853388564
Al Ghaidha_Al Maharah,16.20993423461914,52.18104934692383,Soqatra (Hudaibo)_Socotra,12.65,54.033333,47.088380853388564
Al Ghaidha_Al Maharah,16.20993423461914,52.18104934692383,Central Ataq_Shabwah,14.52941,46.8478,47.088380853388564
Al Ghaidha_Al Maharah,16.20993423461914,52.18104934692383,Marib City_Marib,15.46473503112793,45.32650375366211,47.088380853388564
Al Hazum_Al Jawf,16.16949462890625,44.778175354003906,Marib City_Marib,15.46473503112793,45.32650375366211,38.10328124712685
