source,target,weight
Aden City_Aden,Zungubar City_Abyan,46.6791
Aden City_Aden,Taiz City_Taizz,19.676900000000003
Aden City_Aden,Al Bayda City_Al Bayda,24.4773
Aden City_Aden,Ibb City_Ibb,46.3124
Aden City_Aden,Dhamar City_Dhamar,26.5689
Al Bayda City_Al Bayda,Zungubar City_Abyan,46.6791
Al Bayda City_Al Bayda,Dhamar City_Dhamar,26.5689
Al Bayda City_Al Bayda,Aden City_Aden,46.479099999999995
Al Bayda City_Al Bayda,Central Ataq_Shabwah,48.1038
Al Bayda City_Al Bayda,Ibb City_Ibb,46.3124
Al Ghaidha_Al Maharah,Sayoun City_Hadramaut,51.1041
Al Ghaidha_Al Maharah,Mukalla City_Hadramaut,43.836800000000004
Al Ghaidha_Al Maharah,Soqatra (Hudaibo)_Socotra,50.0707
Al Ghaidha_Al Maharah,Central Ataq_Shabwah,48.1038
Al Ghaidha_Al Maharah,Marib City_Marib,11.6963
Al Hazum_Al Jawf,Marib City_Marib,11.6963
Al Hazum_Al Jawf,Amran City_Amran,9.800899999999999
Al Hazum_Al Jawf,Jihana Almarkazi_Sana'a,14.4298
Al Hazum_Al Jawf,Sana'a City_Amanat Al Asimah,9.196200000000001
Al Hazum_Al Jawf,Alsuail_Hajjah,8.4951
Al Jabeen_Raymah,Alduhamih_Al Hudaydah,13.2878
Al Jabeen_Raymah,Mahweet City_Al Mahwit,17.2881
Al Jabeen_Raymah,Dhamar City_Dhamar,26.5689
Al Jabeen_Raymah,Sana'a City_Amanat Al Asimah,9.196200000000001
Al Jabeen_Raymah,Ibb City_Ibb,46.3124
Alduhamih_Al Hudaydah,Al Jabeen_Raymah,16.2767
Alduhamih_Al Hudaydah,Mahweet City_Al Mahwit,17.2881
Alduhamih_Al Hudaydah,Alsuail_Hajjah,8.4951
Alduhamih_Al Hudaydah,Amran City_Amran,9.800899999999999
Alduhamih_Al Hudaydah,Sana'a City_Amanat Al Asimah,9.196200000000001
Alsuail_Hajjah,Mahweet City_Al Mahwit,17.2881
Alsuail_Hajjah,Amran City_Amran,9.800899999999999
Alsuail_Hajjah,Sana'a City_Amanat Al Asimah,9.196200000000001
