commodity,exchange_rate_regime,market_id,Start Date,End Date,Total Dates
Beans (kidney red),North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,62
Beans (kidney red),North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Beans (kidney red),North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Beans (kidney red),North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,72
Beans (kidney red),North,Alsuail_Hajjah,2018-04-01,2024-05-01,52
Beans (kidney red),North,Amran City_Amran,2015-01-01,2024-05-01,72
Beans (kidney red),North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Beans (kidney red),North,Haradh Town_Hajjah,2015-01-01,2020-03-01,22
Beans (kidney red),North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Beans (kidney red),North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Beans (kidney red),North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Beans (kidney red),North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,72
Beans (kidney red),South,Aden City_Aden,2015-01-01,2024-07-01,73
Beans (kidney red),South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,63
Beans (kidney red),South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Beans (kidney red),South,Marib City_Marib,2018-04-01,2024-07-01,56
Beans (kidney red),South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Beans (kidney red),South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Beans (kidney red),South,Soqatra (Hudaibo)_Socotra,2018-04-01,2024-07-01,33
Beans (kidney red),South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Beans (kidney red),South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Beans (kidney red),Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Beans (kidney red),Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Beans (kidney red),Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Beans (kidney red),Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Beans (kidney red),Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Jihana Almarkazi_Sana'a,2016-07-01,2019-12-01,40
Beans (kidney red),Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Beans (kidney red),Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Beans (kidney red),Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Beans (kidney red),Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Beans (kidney red),Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2024-06-01,38
Beans (kidney red),Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Beans (kidney red),Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Beans (white),North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,61
Beans (white),North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Beans (white),North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Beans (white),North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,59
Beans (white),North,Alsuail_Hajjah,2018-04-01,2024-05-01,51
Beans (white),North,Amran City_Amran,2015-01-01,2024-05-01,59
Beans (white),North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Beans (white),North,Haradh Town_Hajjah,2015-01-01,2020-03-01,9
Beans (white),North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Beans (white),North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Beans (white),North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Beans (white),North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,59
Beans (white),South,Aden City_Aden,2015-01-01,2024-07-01,66
Beans (white),South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,62
Beans (white),South,Central Ataq_Shabwah,2018-04-01,2024-07-01,56
Beans (white),South,Marib City_Marib,2018-04-01,2024-07-01,56
Beans (white),South,Mukalla City_Hadramaut,2018-04-01,2024-07-01,56
Beans (white),South,Sayoun City_Hadramaut,2018-04-01,2024-07-01,56
Beans (white),South,Soqatra (Hudaibo)_Socotra,2018-04-01,2023-04-01,18
Beans (white),South,Taiz City_Taizz,2018-04-01,2024-07-01,56
Beans (white),South,Zungubar City_Abyan,2018-04-01,2024-07-01,56
Beans (white),Unified,Aden City_Aden,2016-06-01,2024-06-01,42
Beans (white),Unified,Al Bayda City_Al Bayda,2016-06-01,2019-12-01,41
Beans (white),Unified,Al Ghaidha_Al Maharah,2016-06-01,2024-06-01,42
Beans (white),Unified,Al Hazum_Al Jawf,2016-06-01,2019-12-01,41
Beans (white),Unified,Al Jabeen_Raymah,2016-06-01,2019-12-01,41
Beans (white),Unified,Alduhamih_Al Hudaydah,2016-06-01,2019-12-01,41
Beans (white),Unified,Alsuail_Hajjah,2016-07-01,2018-08-01,25
Beans (white),Unified,Amran City_Amran,2016-06-01,2019-12-01,41
Beans (white),Unified,Central Ataq_Shabwah,2016-06-01,2024-06-01,42
Beans (white),Unified,Dhamar City_Dhamar,2016-06-01,2019-12-01,41
Beans (white),Unified,Haradh Town_Hajjah,2016-06-01,2019-12-01,41
Beans (white),Unified,Ibb City_Ibb,2016-06-01,2019-12-01,41
Beans (white),Unified,Jihana Almarkazi_Sana'a,2016-06-01,2019-12-01,41
Beans (white),Unified,Mahweet City_Al Mahwit,2016-06-01,2019-12-01,41
Beans (white),Unified,Marib City_Marib,2016-06-01,2024-06-01,42
Beans (white),Unified,Mukalla City_Hadramaut,2016-06-01,2024-06-01,42
Beans (white),Unified,Sana'a City_Amanat Al Asimah,2016-06-01,2019-12-01,41
Beans (white),Unified,Sayoun City_Hadramaut,2016-06-01,2024-06-01,42
Beans (white),Unified,Soqatra (Hudaibo)_Socotra,2016-06-01,2019-07-01,36
Beans (white),Unified,Taiz City_Taizz,2016-06-01,2024-06-01,42
Beans (white),Unified,Zungubar City_Abyan,2016-07-01,2024-06-01,41
Eggs,North,Al Bayda City_Al Bayda,2015-11-01,2024-05-01,61
Eggs,North,Al Hazum_Al Jawf,2018-04-01,2024-05-01,55
Eggs,North,Al Jabeen_Raymah,2018-04-01,2024-05-01,55
Eggs,North,Alduhamih_Al Hudaydah,2015-01-01,2024-05-01,59
Eggs,North,Alsuail_Hajjah,2018-04-01,2024-05-01,51
Eggs,North,Amran City_Amran,2015-01-01,2024-05-01,59
Eggs,North,Dhamar City_Dhamar,2018-04-01,2024-05-01,55
Eggs,North,Haradh Town_Hajjah,2015-01-01,2020-03-01,9
Eggs,North,Ibb City_Ibb,2018-04-01,2024-05-01,55
Eggs,North,Jihana Almarkazi_Sana'a,2018-04-01,2024-05-01,55
Eggs,North,Mahweet City_Al Mahwit,2018-04-01,2024-05-01,55
Eggs,North,Sana'a City_Amanat Al Asimah,2015-01-01,2024-05-01,59
Eggs,South,Aden City_Aden,2015-01-01,2024-07-01,66
Eggs,South,Al Ghaidha_Al Maharah,2015-11-01,2024-07-01,62
